PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Qualifier^STRING^^^^,2^EC50^FLOAT^uM^^^,3^LogEC50^FLOAT^^^^,4^Hill Slope^FLOAT^^^^,5^Hill S0^FLOAT^^^^,6^Hill Sinf^FLOAT^^^^,7^Hill dS^FLOAT^^^^,8^Chi Square^FLOAT^^^^,9^Rsquare^FLOAT^^^^,10^N DataPoints^INT^^^^,11^Activation at 95.1 uM^FLOAT^%^^^,12^Activation at 31.7 uM^FLOAT^%^^^,13^Activation at 10.6 uM^FLOAT^%^^^,14^Activation at 3.5 uM^FLOAT^%^^^,15^Activation at 1.2 uM^FLOAT^%^^^,16^Activation at 391.3 nM^FLOAT^%^^^,17^Activation at 130.4 nM^FLOAT^%^^^,18^Activation at 43.5 nM^FLOAT^%^^^,19^Activation at 14.5 nM^FLOAT^%^^^,20^Activation at 4.8 nM^FLOAT^%^^^
3717112,2082426,Active,34,,,=,9.69,-5.01,0.78,-11.04,130.74,141.78,-29.27,0.99,30,97.3,82.6,47.7,30.4,4.4,-3.6,-3.9,-2,-16.2,-13
3717484,3000022,Inactive,33,,,=,10.26,-4.99,3.24,-13.83,133.62,147.45,-103.01,0.98,20,119.6,116.2,53.1,-9.7,-18.6,-22.2,-14.4,-8.1,-13.4,-6.6
3717582,2537908,Active,99,,,=,0.108,-6.97,1.93,-13.76,134.75,148.51,10.5,1,30,126.6,122.8,117.2,118.6,117.3,110.5,62,5.4,-14.5,-11
3717588,5742573,Active,39,,,=,6.569,-5.18,1.16,-17.46,146.65,164.11,-92.15,0.99,30,121.3,106,72,22.5,-3.2,-6.2,-12.7,-15.2,-24.8,-19.7
3717602,2535819,Active,56,,,=,2.102,-5.68,1.19,-13.01,140.81,153.81,63.36,0.99,30,124.1,119.1,114.2,66.3,27.1,5.4,-8.4,-11.1,-14.3,-15.5
3717608,740743,Inactive,14,,,=,37.13,-4.43,0.85,-13.06,129.29,142.35,-3.79,0.96,30,74.9,45.4,19.5,-0.6,-1.9,-18.2,-6,-15,-10.6,-14.9
3717620,5742575,Inactive,32,,,=,11.14,-4.95,0.67,-10.06,213.68,223.75,-74.56,0.97,30,121.5,90,37.8,31.5,4.7,-0.2,-9.6,-3.8,-14.2,-6.9
3717810,2671470,Inactive,32,,,>,10,-5,,,,,,,20,75.6,78.5,93.4,10.3,0.8,-6.7,-8.3,-14,-20.7,-14.1
3717932,2326513,Inactive,11,,,=,44.16,-4.35,1.41,-10.74,265.92,276.67,-248.39,0.97,20,113.2,30.5,1.6,-14,-10,-0.8,-13.4,-10.1,-15,-11
4240591,3235679,Active,48,,,=,3.666,-5.44,0.8,-12.09,107.97,120.06,-90.27,0.99,20,86.4,87.4,72.8,43.9,27.4,9.1,-4.3,-5.1,-6.4,-17.3
4240751,3235818,Active,41,,,=,5.748,-5.24,1.74,-11.94,113.44,125.38,-20.61,0.99,20,103.1,94,76.7,26.6,-3.6,-17,-5,-15.1,-14.2,-7.4
4240787,3235850,Active,72,,,=,0.692,-6.16,1.06,-11.82,118.99,130.81,-78.67,0.99,30,106.7,105.9,98.9,93.3,65.1,31.6,7.8,-4,-13.9,-8.9
4241066,996494,Active,42,,,=,5.47,-5.26,1.09,-20.39,115.99,136.38,-9.8,0.99,20,86.5,92.5,69,30.6,10.7,-15,-9,-17.7,-24.2,-24.1
4241464,3236433,Inactive,16,,,>,10,-5,,,,,,,30,52.9,59.6,8.1,-4,-11.9,-11.6,-7.8,-10.6,-21.2,-15.3
4241780,3236712,Active,39,,,=,6.67,-5.18,1.59,-8.55,110.57,119.12,-80.36,0.97,19,91.3,108.3,62.3,25.9,0.8,-8.6,-9.5,-3.9,-11.3,-98.6
4241946,3236859,Active,43,,,=,5.277,-5.28,2.67,-9.22,80.47,89.68,-94.44,0.97,20,69.5,70.3,69.9,28.8,-2.5,-5.9,-11.5,0.6,-14.5,-16.8
4242098,3236996,Inactive,0,,,>,30,-4.52,,,,,,,20,107.9,34.5,-11.9,-10.5,-11.1,-12.4,-12.1,-10,-9.4,-5.4
4242219,6602843,Inactive,29,,,=,13.16,-4.88,2.58,-9.14,137.32,146.46,-220.35,0.98,30,124.4,115.4,28.6,8.9,-7.4,-3.9,-17.1,-6.7,-21.1,-10.7
4242248,3237129,Inactive,30,,,=,12.2,-4.91,2.54,-1.93,123.73,125.66,-175.61,0.98,30,118.3,111.8,36.6,12.4,-1.3,-1.2,-5.1,-1.9,-6.4,-4.3
4242508,3237354,Active,44,,,=,4.761,-5.32,1.01,-5.2,99.41,104.6,-19.49,0.99,20,86.7,88.8,67.7,40,17.3,11,-4,-13.4,-2.5,-1.1
4242597,9595212,Inactive,31,,,=,11.22,-4.95,1.19,-15.65,167.91,183.55,-42.09,0.99,20,132.4,104.2,42.4,10.6,-9.3,-8.5,-11.3,-7.2,-20.6,-28
4242720,3237539,Inactive,0,,,>,95,-4.02,,,,,,,20,-3.6,3.4,-6.5,-4.1,-9.9,-9.4,-11.8,-13.2,-13.7,-11.2
4243083,3237853,Active,33,,,=,9.881,-5.01,1.95,-15.55,137.86,153.41,-70.23,0.99,20,118.5,111.2,52.7,1.4,-14.6,-6.7,-9.7,-20.1,-18.9,-22.3
4243185,3237940,Inactive,32,,,=,10.48,-4.98,1.84,1.78,120.75,118.98,381.78,0.99,30,115.9,108.8,44.6,19.9,5.6,1.8,-2,3.2,-4.6,3.3
4243189,3237945,Active,42,,,=,5.571,-5.25,1.75,-8.23,127.62,135.86,-119.16,0.99,20,115.1,116,84.2,23.5,6.1,-7.9,-7.5,-0.2,-15.2,-14.5
4243337,3238071,Active,43,,,=,4.996,-5.3,0.82,-16.3,154.88,171.18,-94.47,0.98,20,116.5,112.5,72.1,32.9,12.9,3.3,-0.2,-24.9,-18.9,-14.4
4243360,3238094,Inactive,31,,,=,11.88,-4.93,1.02,-17.57,158.33,175.89,-68.16,0.98,19,117.4,91.4,42.7,10.7,-7.6,14.7,-7.1,-20.1,-21.6,-21.4
4243407,3238135,Inactive,32,,,=,10.48,-4.98,1.27,-9.51,143.3,152.81,-58.19,0.99,20,118.7,105,42,16,3.6,-9.2,-9.4,-9.2,-9,-15.4
4243672,6602851,Active,52,,,=,2.825,-5.55,1.01,-20.66,138.87,159.53,-306.62,0.96,30,116.2,106.9,86.3,61.2,19.7,-0.6,-26.8,-4.9,-23,-21.4
4244481,3239070,Active,63,,,=,1.272,-5.9,1.41,-13.95,109.63,123.58,-89.29,0.99,30,97.8,93.1,92.6,77.2,48.6,9.2,-9.8,-17.9,-9.4,-11.9
4244635,3239207,Inactive,29,,,=,13.42,-4.87,1,-9.87,144.25,154.12,-57.66,0.99,20,109.1,83.7,38.4,13,0.6,-5.8,-3.3,-10.3,-11,-15.3
4244718,3239280,Active,36,,,=,8.243,-5.08,1.5,-19.68,147.81,167.5,-26.1,0.99,20,121.1,113.5,61.3,9.2,-6.5,-19.4,-28.5,-14.1,-23.8,-15.9
4244884,5400198,Inactive,33,,,=,10.24,-4.99,1.28,-4.32,134.08,138.4,-48.63,0.99,20,120.1,93.4,53.5,14.1,-0.1,0.3,-11.6,-0.5,-4.6,-1.7
4244974,2928973,Inactive,0,,,>,30,-4.52,,,,,,,30,123.3,39.8,-30.2,-10.7,-17,-22.5,-16.3,-19.8,-16.2,-23.2
